"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"03.04.2025","5,576","5,700","5,700","5,538","-2,16%"
"02.04.2025","5,699","5,683","5,700","5,620","0,21%"
"01.04.2025","5,687","5,758","5,759","5,664","-0,68%"
"31.03.2025","5,726","5,809","5,809","5,717","-1,14%"
"28.03.2025","5,792","5,809","5,849","5,792","-0,58%"
"27.03.2025","5,826","5,836","5,878","5,799","-0,29%"
"26.03.2025","5,843","5,837","5,850","5,774","0,72%"
"25.03.2025","5,801","5,901","5,905","5,801","-0,51%"
"24.03.2025","5,831","5,901","5,901","5,812","0,17%"
"21.03.2025","5,821","5,884","5,884","5,805","0,26%"
"20.03.2025","5,806","5,902","5,923","5,773","-0,68%"
"19.03.2025","5,846","5,884","5,932","5,843","0,48%"
"18.03.2025","5,818","5,908","5,930","5,818","-0,70%"
"17.03.2025","5,859","5,901","5,914","5,850","-0,61%"
"14.03.2025","5,895","5,966","5,985","5,879","-0,39%"
"13.03.2025","5,918","6,021","6,024","5,918","-1,04%"
"12.03.2025","5,980","6,003","6,016","5,942","0,10%"
"11.03.2025","5,974","6,006","6,019","5,942","-0,05%"
"10.03.2025","5,977","6,021","6,021","5,949","-0,08%"
"07.03.2025","5,982","5,990","6,017","5,931","0,27%"
"06.03.2025","5,966","5,970","6,013","5,883","2,00%"
"05.03.2025","5,849","5,926","5,940","5,810","1,04%"
"04.03.2025","5,789","5,847","5,847","5,783","-0,02%"
"03.03.2025","5,790","5,793","5,859","5,790","0,23%"
"28.02.2025","5,777","5,822","5,824","5,740","-0,17%"
"27.02.2025","5,787","5,831","5,882","5,745","-0,29%"
"26.02.2025","5,804","5,871","5,871","5,791","-0,02%"
"25.02.2025","5,805","5,872","5,897","5,805","-1,01%"
"24.02.2025","5,864","5,900","5,923","5,864","-0,02%"
"21.02.2025","5,865","5,872","5,940","5,830","0,12%"
"20.02.2025","5,858","5,866","5,936","5,833","0,88%"
"19.02.2025","5,807","5,866","5,918","5,807","-1,51%"
"18.02.2025","5,896","5,847","5,896","5,765","0,58%"
"17.02.2025","5,862","5,799","5,862","5,778","2,25%"
"14.02.2025","5,733","5,868","5,919","5,733","-2,13%"
"13.02.2025","5,858","5,960","5,960","5,826","-2,92%"
"12.02.2025","6,034","5,895","6,034","5,856","2,69%"
"11.02.2025","5,876","5,854","5,935","5,815","1,31%"
"10.02.2025","5,800","5,860","5,877","5,800","-0,79%"
"07.02.2025","5,846","5,830","5,854","5,755","1,78%"
"06.02.2025","5,744","5,891","5,908","5,744","-1,07%"
"05.02.2025","5,806","5,895","5,901","5,806","-1,07%"
"04.02.2025","5,869","5,909","5,913","5,847","0,39%"
"03.02.2025","5,846","5,862","5,922","5,846","0,45%"
"31.01.2025","5,820","5,897","5,897","5,820","-0,73%"
"30.01.2025","5,863","5,907","5,911","5,863","-1,30%"
"29.01.2025","5,940","5,960","5,960","5,894","-0,52%"
"28.01.2025","5,971","5,971","5,983","5,904","0,08%"
"27.01.2025","5,966","5,968","5,994","5,922","-0,13%"
"24.01.2025","5,974","5,977","5,994","5,947","0,08%"
"23.01.2025","5,969","5,935","5,969","5,883","1,69%"
"22.01.2025","5,870","5,973","5,973","5,864","-1,23%"
"21.01.2025","5,943","5,973","6,030","5,934","-0,29%"
"20.01.2025","5,960","5,932","6,035","5,932","0,71%"
"17.01.2025","5,918","5,947","6,003","5,914","0,32%"
"16.01.2025","5,899","6,063","6,082","5,899","-1,85%"
"15.01.2025","6,010","6,125","6,126","5,986","-1,88%"
"14.01.2025","6,125","6,033","6,152","6,033","1,58%"
"13.01.2025","6,030","6,012","6,102","6,012","0,74%"
"10.01.2025","5,986","6,048","6,096","5,986","-0,07%"
"09.01.2025","5,990","5,978","6,019","5,957","0,49%"
"08.01.2025","5,961","5,992","5,992","5,961","-0,82%"
"07.01.2025","6,010","6,017","6,055","5,952","2,05%"
"03.01.2025","5,889","5,910","5,979","5,863","0,43%"
"02.01.2025","5,864","5,917","5,917","5,853","-0,41%"
"30.12.2024","5,888","5,862","5,974","5,862","0,62%"
